name,month,value,index
ВІЛ-інфекція,1,901,1
ВІЛ-інфекція,2,970,1
ВІЛ-інфекція,3,1042,1
ВІЛ-інфекція,4,878,1
ВІЛ-інфекція,5,966,1
ВІЛ-інфекція,6,1057,1
ВІЛ-інфекція,7,940,1
ВІЛ-інфекція,8,1032,1
ВІЛ-інфекція,9,1002,1
ВІЛ-інфекція,10,960,1
ВІЛ-інфекція,11,948,1
ВІЛ-інфекція,12,936,1
Смертей від СНІДУ,1,113,2
Смертей від СНІДУ,2,114,2
Смертей від СНІДУ,3,174,2
Смертей від СНІДУ,4,99,2
Смертей від СНІДУ,5,129,2
Смертей від СНІДУ,6,135,2
Смертей від СНІДУ,7,79,2
Смертей від СНІДУ,8,112,2
Смертей від СНІДУ,9,111,2
Смертей від СНІДУ,10,121,2
Смертей від СНІДУ,11,141,2
Смертей від СНІДУ,12,134,2
СНІД,1,261,3
СНІД,2,255,3
СНІД,3,280,3
СНІД,4,223,3
СНІД,5,301,3
СНІД,6,311,3
СНІД,7,226,3
СНІД,8,278,3
СНІД,9,287,3
СНІД,10,274,3
СНІД,11,297,3
СНІД,12,316,3
Туберкульоз,1,1704,4
Туберкульоз,2,1764,4
Туберкульоз,3,1560,4
Туберкульоз,4,1646,4
Туберкульоз,5,1785,4
Туберкульоз,6,1363,4
Туберкульоз,7,1362,4
Туберкульоз,8,1424,4
Туберкульоз,9,1058,4
Туберкульоз,10,1400,4
Туберкульоз,11,1355,4
Туберкульоз,12,1378,4
