oblast,level,vil,tub
Львівська область,oblast,194,57
Закарпатська область,oblast,87,74
Івано-Франківська область,oblast,100,43
Тернопільська область,oblast,93,28
Волинська область,oblast,197,73
Рівненська область,oblast,217,51
Чернівецька область,oblast,130,37
Житомирська область,oblast,297,61
Вінницька область,oblast,230,53
Київська область,oblast,435,49
Черкаська область,oblast,351,58
Одеська область,oblast,1104,100
Кіровоградська область,oblast,411,92
Миколаївська область,oblast,749,65
Чернігівська область,oblast,443,45
Полтавська область,oblast,287,59
Херсонська область,oblast,407,15
Дніпропетровська область,oblast,948,86
Запорізька область,oblast,268,36
Сумська область,oblast,160,58
Харківська область,oblast,227,38
Донецька область,oblast,256,16
Луганська область,oblast,87,
Хмельницька область,oblast,199,48
м. Київ,oblast,643,33
