oblast,2022,2023,2022percent,2023percent,others
АР Крим ,n/a,n/a,n/a,n/a,n/a
Вінницька ,665,797,"44,3 ","53,0 ",19.6
Волинська ,616,745,"60,5 ","73,1 ",20.8
Дніпропетровська ,3364,2663,"96 ","86,1 ",20.9
Донецька ,279,304,"14,8 ","16,1 ",8.8
Житомирська ,645,719,"54,7 ","60,9 ",11.3
Закарпатська ,927,920,"74,7 ","74,1 ",0.8
Запорізька ,549,581,"33,5 ","35,5 ",6
Івано-Франківська ,487,585,"36,1 ","43,4 ",20.2
Київська ,791,883,"44,2 ","49,3 ",11.5
Кіровоградська ,687,826,"76,6 ","92,1 ",20.2
Луганська ,45,0,"6,7 ","0,0 ",n/a
Львівська ,1379,1398,"56,1 ","56,8 ",1.2
Миколаївська ,531,710,"48,7 ","65,1 ",33.7
Одеська ,2208,2330,"94,3 ","99,6 ",5.6
Полтавська ,699,795,"52,0 ","59,1 ",13.7
Рівненська ,538,585,"47,2 ","51,3 ",8.7
Сумська ,445,594,"43,1 ","57,5 ",33.4
Тернопільська ,335,281,"32,9 ","27,6 ",16.1
Харківська ,593,989,"23,0 ","38,3 ",1.7
Херсонська ,287,152,"28,7 ","15,2 ",47
Хмельницька ,425,585,"34,7 ","47,7 ",37.5
Черкаська ,594,676,"51,3 ","58,4 ",13.8
Чернівецька ,286,332,"32,2 ","37,4 ",16.1
Чернігівська ,413,432,"43,4 ","45,4 ",4.6
м. Київ ,722,969,"24,8 ","33,3 ",34.3
